Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,connecting_message.started,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Palatability_Score.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,p_port_16.stopped,p_port_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.186237599991728,16.303202330012574,0.00245049997465685,0.09868579998146743,16.56953470001463,16.786405829997967,17.286530630016934,17.552955200022552,17.552955200022552,0.0014680000022053719,0.09875289996853098,37.55291399999987,20.03215389995603,37.686368599999696,0.0335641999845393,0.13235720002558082,6.015505600022152,43.70297560002655,43.76961850002408,43.76961850002408,0.015591700037475675,0.11543870001332834,space,3.1697527999640442,47.002916100027505,47.002916100027505,4.8499961849302053e-05,0.11433949996717274,9,8.55205970001407,55.61956042999518,0.0021910000359639525,0.0975987000274472,55.91956230002688,56.41954383003176,56.71955209999578,57.20279373000958,57.5194883000222,57.602934600028675,65.61957780004013,65.61957780004013,65.61950513003976,0.0015632000286132097,0.09765850001713261,66.63611780002248,67.63620770000853,67.80313220003154,68.30287860002136,74.30287430004682,6.0142794999992475,6.1143137000035495,80.30287250003312,80.50282123003271,12.214208399993367,12.3141988000134,81.51949810003862,105.31943483003997,105.31948130001547,37.03088799997931,37.1306449000258,106.33597170002759,108.33602270000847,0.017472899984568357,0.1142717000329867,3.0,4.2645910999854095,112.636361700017,0.0008726000087335706,0.09784820000641048,142.63608120003482,30.031018700043205,,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,142.76940340001602,0.031739700061734766,0.13096240005688742,6.03103250003187,148.76936630002456,148.86924770002952,148.86924770002952,0.031144400069024414,0.1310089000617154,space,0.4864467000006698,149.4027178999968,149.4027178999968,3.100000321865082e-05,0.09800880000693724,9,2.1437749000033364,151.58602432999177,0.0020438999636098742,0.09805279999272898,151.88594250002643,152.36922933003515,152.66924890002701,153.16563192998873,,153.58604339999147,,161.58579820004525,161.6024451299978,0.01524569996399805,0.11484019999625161,162.61929240002064,163.58600390003994,163.76918000000296,164.2693421000149,170.26935010001762,6.014843699987978,6.114747099985834,176.28597760002594,176.46917013002675,12.214642199978698,12.298122599953786,177.46922240004642,201.26914833002374,201.2692412000033,37.01473989995429,37.11465799994767,202.26912720000837,204.26910120004322,0.014551499974913895,0.11451809998834506,3.0,1.7306175999692641,206.03621540003223,0.0004936999757774174,0.09920459997374564,236.03580390004208,29.99903909995919,204.26910120004322,30.099005899974145,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,236.13581700000213,0.00034610001603141427,0.09903320000739768,6.015684199985117,242.15245700004743,242.2525072999997,242.2525072999997,0.015782400034368038,0.11562730005243793,space,2.094278700009454,244.38579670002218,244.38579670002218,2.9499991796910763e-05,0.09854279999854043,9,1.5294215999892913,245.9524798300059,0.0018470999784767628,0.09805189998587593,246.26910570001928,246.75245273002074,247.06909609999275,247.5524017300282,247.8691894999938,247.9358099999954,255.9357580000069,255.9357580000069,255.93584313004393,0.014754100004211068,0.11471409996738657,256.9359107000055,257.95261730003403,258.15248200000497,,264.63576130004367,6.014712199976202,6.114622799970675,270.6357273000176,270.85234853001896,12.231267699971795,12.33127169997897,271.86903800000437,295.6318243300135,295.61524690000806,37.01057729998138,37.094067099969834,296.65230070002144,298.6355129000149,0.014427099958993495,0.11487379996106029,3.0,1.997124999994412,300.6693754000007,0.000868900038767606,0.09800220001488924,330.685548700043,30.01431220001541,298.6355129000149,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,330.8021815000102,0.0317231000517495,0.13098530005663633,6.014275500026997,336.81894170003943,336.8855045000091,336.8855045000091,0.014431500050704926,0.11425290006445721,space,3.461832400003914,340.3854796999949,340.3854796999949,5.490001058205962e-05,0.09787509997840971,9,2.041666399978567,342.46880283002395,0.0020141000277362764,0.09792560001369566,342.76873040001374,343.2520850300149,343.5687373999972,344.0519920299936,344.3687735000276,344.4521331000142,352.4687847000314,352.4687847000314,352.4687188300246,0.0006926999776624143,0.09783769998466596,353.4686853000312,354.468808500038,354.6687749000266,355.1688063000329,361.152090699994,6.01454589999048,6.114659100014251,367.1521860000212,367.352053430042,12.214508300006855,12.314470899989828,368.36873660003766,392.1519812300045,392.152001200011,37.01447240001289,37.11437049997039,393.1686500000069,395.16876090003643,0.0011964999721385539,0.09763590001966804,3.0,3.8972907999996096,399.1019524000003,0.00033469998743385077,0.09936860000016168,429.11849960003747,30.016186100023333,395.16876090003643,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,429.2184796000365,0.01688140002079308,0.116239300055895,6.016167000052519,435.2185024000355,435.3184518000344,435.3184518000344,0.016378500033169985,0.11610520008252934,space,1.476691199990455,436.8516112000216,436.8516112000216,4.2499974370002747e-05,0.09825949999503791,9,0.9907817000057548,437.902006730024,0.0022936000023037195,0.09764349996112287,438.2183156000101,438.6850632300426,438.9850543999928,439.48509403003266,439.78495120001025,439.88535689999117,447.8850831000018,447.8850831000018,447.8850666300219,0.014329199970234185,0.11452619999181479,448.8850658000447,449.8850733000436,450.0850685000187,450.58502640004735,456.5850570000475,6.014292599982582,6.114270999969449,462.58507299999474,462.784879330016,12.2141025000019,12.314238099963404,463.78493650001474,487.5847420300066,487.5681051000138,37.01396549999481,37.114078099955805,488.60211450001225,490.6014472999959,0.03063799999654293,0.13057559996377677,3.0,1.9641385999857448,492.5684665000299,0.0009439999703317881,0.09838679997483268,522.5849409000366,30.01483180001378,490.5681830000249,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.6847763000405,0.01501149998512119,0.114805500023067,552.7013698000228,30.031351800018456,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,0,0,0,0,,,,,,,,,552.8013160999981,0.03431890002684668,0.13133460003882647,572.8179175000405,20.014565200021025,572.8845929999952,0.016081100038718432,0.11457270005485043,6.014371500059497,578.8677914,578.9679135000333,578.9679135000333,0.031986000074539334,0.13125240005319938,space,2.4108311999589205,581.417882400041,581.417882400041,3.809999907389283e-05,0.09811060002539307,9,1.0086767000029795,582.484559230035,0.002377199998591095,0.0978324000025168,582.8012359000277,583.2845130300208,583.6012310000369,584.0676844300411,,584.467898700037,592.4845133000053,592.4845133000053,592.4844830300368,0.001360700000077486,0.09788890002528206,593.5011846999987,594.5012658000342,594.6678014000063,595.1678206000361,601.1845039000036,6.031200500030536,6.131129199988209,607.2011050000438,607.3677745300171,12.214430099993479,12.314394899993204,608.3678869000287,632.1676179300354,632.1676616000477,37.01432850002311,37.11433519999264,633.1842184000416,635.1675420000101,0.014163299987558275,0.11419649998424575,3.0,1.6639256000053138,636.8678864000249,0.0008053999627009034,0.09755319997202605,666.8675151999923,30.031083899957594,635.1675420000101,,,,,,,6.097774500085507,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,666.9843163000187,0.014735299977473915,0.11417810001876205,6.030747200013138,673.0008140000282,673.0841653000098,673.0841653000098,0.014296500012278557,0.11410770000657067,space,2.3908779000048526,675.5341217000387,675.5341217000387,1.4699995517730713e-05,0.09936300001572818,9,0.5649713999591768,676.1341999299999,0.0022154999896883965,0.09776219999184832,676.4508096000063,676.9176297300088,677.2174451000174,677.7341326300462,678.0509362000157,678.1175041000242,686.1174662000267,686.1174662000267,686.1174647300446,0.014463800005614758,0.11440700001548976,687.1174206000287,688.1174523000373,688.3174399000127,688.8174620000063,694.8173945000162,6.014375799975824,6.114358399994671,700.8174269000301,701.0173629299912,12.21435249998467,12.314361799973994,,725.8172631300346,725.817300499999,37.01427499996498,37.1308973999694,,728.8337699000258,0.0011191999656148255,0.09741839999333024,3.0,7.347441099991556,736.2172864000313,0.00047010002890601754,0.0991733000264503,766.2340258000186,30.015957900031935,728.8337699000258,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,766.3337696000235,0.016452800016850233,0.11572160001378506,6.015703700017184,772.3337564000394,772.4337685999926,772.4337685999926,0.01578090008115396,0.11570260004373267,space,1.5772431999794208,774.0670563000022,774.0670563000022,4.190002800896764e-05,0.09787980001419783,9,0.34337980003328994,774.45042033004,0.0022017000010237098,0.09775070002069697,774.7503673000028,775.2336854300171,775.5504103000276,776.0337039300299,776.3503702000016,776.450411400001,784.4503908000188,784.4503908000188,784.4502208300343,0.00012500002048909664,0.09768339997390285,785.4503221000195,786.4505586000159,786.6169703000342,787.1336889000377,793.1337087000138,6.014431199990213,6.114295799983665,799.1503291000263,799.3335890300165,12.214291599986609,12.330963799962774,800.3503477000049,824.150173530035,824.1501764000277,37.030904999992345,37.13084569998318,825.150182900019,827.1668020000216,0.017211199970915914,0.11404559999937192,3.0,4.097964500018861,831.3001376000466,0.0010697999969124794,0.09727329999441281,861.3000142000383,30.030446799995843,,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,861.4333793999976,0.03103250003186986,0.13039550004759803,6.030413500033319,867.433344900026,867.5333500000415,867.5333500000415,0.03063210006803274,0.13035830005537719,space,7.437371699954383,875.016533499991,875.016533499991,4.090002039447427e-05,0.09798479999881238,9,0.4182583999936469,875.4833407300117,0.0021539999870583415,0.0978088999981992,875.7999341000104,876.2666028300242,876.5666063000099,877.0664451300341,877.3665937000187,877.483325600042,885.4832279999973,885.4832279999973,885.4832803300175,0.00102090003201738,0.09773710003355518,886.500017000013,887.4998900000355,887.6666025000159,888.1666111000231,894.1665943000116,6.014510600012727,6.114405300002545,900.1665382999927,900.3665438300173,12.214381400030106,12.314348799991421,901.3664201000356,925.1664221300103,925.1664465999929,37.01437029999215,37.11432849999983,,928.1662843000377,0.014144100015982985,0.11410990002332255,3.0,6.897828400018625,935.0997056000051,0.0013029000256210566,0.09744649997446686,965.0995970999938,30.03070730000036,928.1662843000377,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,965.2162513000076,0.014806899998802692,0.1139606999931857,6.030603300023358,971.2328902000445,971.3328665000154,971.3328665000154,0.030858600046485662,0.13061450002714992,space,1.2615502999979071,972.6328984000138,972.6328984000138,3.609998384490609e-05,0.09806170000229031,9,0.458180200017523,973.1328738300305,0.001880299998447299,0.0980950000230223,973.449507500045,973.9160646300239,974.2161158000235,974.7328659300052,975.0495929000317,975.1162883000216,983.1328521000105,983.1328521000105,983.1328075299913,0.0011869000154547393,0.09814040001947433,984.1494638000149,985.1494864000124,985.316261400003,985.816140400013,991.8161189000239,6.0147532999981195,6.114475400012452,997.8327512000105,998.016159030021,12.214694799971767,12.314652599976398,999.0161963000428,1022.8326026300143,1022.8327777000377,37.03149690001737,37.13122799998382,1023.849288700032,1025.8491641000146,0.018097500025760382,0.11440269998274744,3.0,3.197345199994743,1029.0826050000032,0.0007700000423938036,0.0985657999990508,1059.0991433000308,30.014976900012698,,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.1991479000426,0.015136400063056499,0.1149608000414446,1089.2156920999987,30.031573300017044,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,0,0,0,0,,,,,,,,,1089.3156816000119,0.03429350006626919,0.1315054000588134,1109.332366799994,20.014746500062756,1109.3989644999965,0.016656100109685212,0.1147761000902392,6.014856800087728,1115.3990945999976,1115.482049400045,1115.482049400045,0.01463700010208413,0.09805310011142865,space,2.992235600017011,1118.5156264000107,1118.5156264000107,4.449998959898949e-05,0.09774499997729436,9,0.17483410000568256,1118.74898713,0.0020984000293537974,0.09753560001263395,1119.0488041000208,1119.549022130022,1119.848890000023,1120.3321665300114,1120.6488693000283,1120.7322179000475,1128.7488280000398,1128.7488280000398,1128.7488287300162,0.0008364000241272151,0.09768659999826923,1129.7487761999946,1130.7655016999925,1130.9321113000042,1131.4488367000013,1137.448773900047,6.030835499987006,6.130790299968794,1143.4654464999912,1143.6320604300067,12.214083899976686,12.3141380000161,1144.6487277999986,1168.4319723300227,1168.4319691000273,37.01403389999177,37.114018599968404,1169.4486200000392,1171.448580700031,0.0008743999642319977,0.0973674000124447,3.0,2.9642706000013277,1174.4490015000338,0.0004965000553056598,0.09951800003182143,1204.4484754000441,29.99915270000929,1171.448580700031,30.099181600031443,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
